timestamp,consumption,meter_id,location,temperature,humidity
2025-01-01 00:00:00,104.91,M003,Office,21.46,51.53
2025-01-01 01:00:00,97.39,M002,Warehouse,21.34,50.78
2025-01-01 02:00:00,90.61,M003,Data Center,21.23,50.02
2025-01-01 03:00:00,85.56,M005,Factory,21.11,49.27
2025-01-01 04:00:00,83.20,M001,Data Center,20.99,48.51
2025-01-01 05:00:00,84.46,M004,Office,20.88,47.75
2025-01-01 06:00:00,89.31,M001,Factory,20.76,47.00
2025-01-01 07:00:00,97.07,M003,Warehouse,20.65,46.24
2025-01-01 08:00:00,106.13,M001,Office,20.54,45.49
2025-01-01 09:00:00,115.16,M002,Factory,20.42,44.73
2025-01-01 10:00:00,122.95,M004,Warehouse,20.31,43.98
2025-01-01 11:00:00,128.28,M005,Data Center,20.20,43.22
2025-01-01 12:00:00,130.13,M003,Factory,20.08,42.47
2025-01-01 13:00:00,183.55,M004,Warehouse,19.97,41.71
2025-01-01 14:00:00,123.23,M001,Data Center,19.86,40.96
2025-01-01 15:00:00,116.71,M003,Office,19.75,40.20
2025-01-01 16:00:00,108.90,M002,Factory,19.64,39.45
2025-01-01 17:00:00,101.01,M005,Warehouse,19.53,38.69
2025-01-01 18:00:00,93.98,M004,Data Center,19.42,37.94
2025-01-01 19:00:00,89.18,M001,Factory,19.31,37.19
2025-01-01 20:00:00,87.24,M003,Warehouse,19.21,36.43
2025-01-01 21:00:00,88.38,M002,Data Center,19.10,35.68
2025-01-01 22:00:00,92.19,M005,Office,18.99,34.92
2025-01-01 23:00:00,97.75,M004,Factory,18.89,34.17
2025-01-02 00:00:00,103.88,M001,Office,18.78,33.42
2025-01-02 01:00:00,109.44,M003,Warehouse,18.67,32.66
2025-01-02 02:00:00,113.46,M002,Factory,18.57,31.91
2025-01-02 03:00:00,115.15,M005,Data Center,18.46,31.16
2025-01-02 04:00:00,114.21,M004,Office,18.36,30.40
2025-01-02 05:00:00,110.66,M001,Factory,18.25,29.65
2025-01-02 06:00:00,105.15,M003,Warehouse,18.15,28.90
2025-01-02 07:00:00,98.91,M002,Office,18.05,28.14
2025-01-02 08:00:00,117.74,M005,Data Center,17.95,27.39
2025-01-02 09:00:00,126.64,M004,Factory,17.84,26.64
2025-01-02 10:00:00,134.56,M001,Warehouse,17.74,25.89
2025-01-02 11:00:00,140.25,M003,Office,17.64,25.13
2025-01-02 12:00:00,142.74,M002,Factory,17.54,24.38
2025-01-02 13:00:00,141.38,M005,Data Center,17.44,23.63
2025-01-02 14:00:00,136.77,M004,Office,17.34,22.88
2025-01-02 15:00:00,129.93,M001,Factory,17.24,22.12
2025-01-02 16:00:00,121.48,M003,Warehouse,17.14,21.37
2025-01-02 17:00:00,112.63,M002,Data Center,17.05,20.62
2025-01-02 18:00:00,104.30,M005,Office,16.95,19.87
2025-01-02 19:00:00,98.12,M004,Factory,16.85,19.12
2025-01-02 20:00:00,94.99,M001,Data Center,16.76,18.37
2025-01-02 21:00:00,95.03,M003,Office,16.66,17.62
2025-01-02 22:00:00,97.90,M002,Factory,16.56,16.87
2025-01-02 23:00:00,102.80,M005,Warehouse,16.47,16.12
2025-01-03 00:00:00,108.52,M004,Data Center,16.38,15.37
2025-01-03 01:00:00,113.95,M001,Office,16.28,14.62
2025-01-03 02:00:00,118.00,M003,Factory,16.19,13.87
2025-01-03 03:00:00,119.84,M002,Warehouse,16.10,13.12
2025-01-03 04:00:00,119.03,M005,Office,16.01,12.37
